scenario_name,customer_name,customer_email,provider,do_token,tencent_secret_id,tencent_secret_key,aws_access_key_id,aws_secret_access_key,azure_tenant_id,azure_subscription_id,azure_client_id,azure_client_secret,byteplus_access_key,byteplus_secret_key,region,size,primary_model,anthropic_key,openai_key,gemini_key,byteplus_ark_api_key,failover_1,failover_2,tailscale,tailscale_auth_key,telegram_bot_token,whatsapp_phone_number
DO_anthropic_full,test-do-anthro,testdo1@example.com,digitalocean,${DO_TOKEN},,,,,,,,,,,sgp1,s-2vcpu-4gb,anthropic,${ANTHROPIC_API_KEY},${OPENAI_API_KEY},,,openai,,true,${TAILSCALE_AUTH_KEY},${TELEGRAM_BOT_TOKEN},${WHATSAPP_PHONE}
DO_openai_full,test-do-openai,testdo2@example.com,digitalocean,${DO_TOKEN},,,,,,,,,,,nyc1,s-2vcpu-4gb,openai,,${OPENAI_API_KEY},,,anthropic,,true,${TAILSCALE_AUTH_KEY},${TELEGRAM_BOT_TOKEN},${WHATSAPP_PHONE}
DO_gemini_full,test-do-gemini,testdo3@example.com,digitalocean,${DO_TOKEN},,,,,,,,,,,fra1,s-4vcpu-8gb,gemini,,,${GEMINI_API_KEY},,anthropic,,false,,,
DO_anthropic_dual_failover,test-do-dual,testdo4@example.com,digitalocean,${DO_TOKEN},,,,,,,,,,,sgp1,s-2vcpu-4gb,anthropic,${ANTHROPIC_API_KEY},${OPENAI_API_KEY},${GEMINI_API_KEY},,openai,gemini,false,,,
DO_minimal,test-do-minimal,testdo5@example.com,digitalocean,${DO_TOKEN},,,,,,,,,,,sgp1,s-1vcpu-1gb,anthropic,${ANTHROPIC_API_KEY},,,,,,false,,,
DO_anthropic_oauth,test-do-oauth,testdo6@example.com,digitalocean,${DO_TOKEN},,,,,,,,,,,sgp1,s-2vcpu-4gb,anthropic,${ANTHROPIC_OAUTH_TOKEN},,,,,,false,,,
TC_anthropic_full,test-tc-anthro,testtc1@example.com,tencent,,${TENCENT_SECRET_ID},${TENCENT_SECRET_KEY},,,,,,,,,ap-singapore,SA5.MEDIUM4,anthropic,${ANTHROPIC_API_KEY},,,,gemini,,true,${TAILSCALE_AUTH_KEY},${TELEGRAM_BOT_TOKEN},${WHATSAPP_PHONE}
TC_openai_full,test-tc-openai,testtc2@example.com,tencent,,${TENCENT_SECRET_ID},${TENCENT_SECRET_KEY},,,,,,,,,ap-hongkong,SA5.MEDIUM4,openai,,${OPENAI_API_KEY},,,anthropic,,false,,,
TC_gemini_full,test-tc-gemini,testtc3@example.com,tencent,,${TENCENT_SECRET_ID},${TENCENT_SECRET_KEY},,,,,,,,,ap-singapore,SA5.LARGE8,gemini,,,${GEMINI_API_KEY},,openai,,false,,${TELEGRAM_BOT_TOKEN},
TC_anthropic_dual_failover,test-tc-dual,testtc4@example.com,tencent,,${TENCENT_SECRET_ID},${TENCENT_SECRET_KEY},,,,,,,,,ap-singapore,SA5.MEDIUM4,anthropic,${ANTHROPIC_API_KEY},${OPENAI_API_KEY},${GEMINI_API_KEY},,openai,gemini,false,,,
AWS_anthropic_full,test-aws-anthro,testawsl1@example.com,lightsail,,,,${AWS_ACCESS_KEY_ID},${AWS_SECRET_ACCESS_KEY},,,,,,,ap-southeast-1,medium_3_0,anthropic,${ANTHROPIC_API_KEY},${OPENAI_API_KEY},,,openai,,true,${TAILSCALE_AUTH_KEY},${TELEGRAM_BOT_TOKEN},${WHATSAPP_PHONE}
AWS_openai_full,test-aws-openai,testawsl2@example.com,lightsail,,,,${AWS_ACCESS_KEY_ID},${AWS_SECRET_ACCESS_KEY},,,,,,,us-east-1,medium_3_0,openai,,${OPENAI_API_KEY},,,anthropic,,false,,,
AWS_gemini_full,test-aws-gemini,testawsl3@example.com,lightsail,,,,${AWS_ACCESS_KEY_ID},${AWS_SECRET_ACCESS_KEY},,,,,,,ap-southeast-1,large_3_0,gemini,,,${GEMINI_API_KEY},,openai,,false,,${TELEGRAM_BOT_TOKEN},
AWS_anthropic_dual_failover,test-aws-dual,testawsl4@example.com,lightsail,,,,${AWS_ACCESS_KEY_ID},${AWS_SECRET_ACCESS_KEY},,,,,,,ap-southeast-1,medium_3_0,anthropic,${ANTHROPIC_API_KEY},${OPENAI_API_KEY},${GEMINI_API_KEY},,openai,gemini,false,,,
AWS_minimal,test-aws-min,testawsl5@example.com,lightsail,,,,${AWS_ACCESS_KEY_ID},${AWS_SECRET_ACCESS_KEY},,,,,,,us-east-1,small_3_0,anthropic,${ANTHROPIC_API_KEY},,,,,,false,,,
AZ_anthropic_full,test-az-anthro,testaz1@example.com,azure,,,,,,${AZURE_TENANT_ID},${AZURE_SUBSCRIPTION_ID},${AZURE_CLIENT_ID},${AZURE_CLIENT_SECRET},,,southeastasia,Standard_B2s,anthropic,${ANTHROPIC_API_KEY},${OPENAI_API_KEY},,,openai,,true,${TAILSCALE_AUTH_KEY},${TELEGRAM_BOT_TOKEN},${WHATSAPP_PHONE}
AZ_openai_full,test-az-openai,testaz2@example.com,azure,,,,,,${AZURE_TENANT_ID},${AZURE_SUBSCRIPTION_ID},${AZURE_CLIENT_ID},${AZURE_CLIENT_SECRET},,,eastus,Standard_B2s,openai,,${OPENAI_API_KEY},,,anthropic,,false,,,
AZ_gemini_full,test-az-gemini,testaz3@example.com,azure,,,,,,${AZURE_TENANT_ID},${AZURE_SUBSCRIPTION_ID},${AZURE_CLIENT_ID},${AZURE_CLIENT_SECRET},,,westeurope,Standard_B2ms,gemini,,,${GEMINI_API_KEY},,openai,,false,,${TELEGRAM_BOT_TOKEN},
AZ_anthropic_triple,test-az-triple,testaz4@example.com,azure,,,,,,${AZURE_TENANT_ID},${AZURE_SUBSCRIPTION_ID},${AZURE_CLIENT_ID},${AZURE_CLIENT_SECRET},,,southeastasia,Standard_B2s,anthropic,${ANTHROPIC_API_KEY},${OPENAI_API_KEY},${GEMINI_API_KEY},,openai,gemini,true,${TAILSCALE_AUTH_KEY},,
AZ_minimal,test-az-min,testaz5@example.com,azure,,,,,,${AZURE_TENANT_ID},${AZURE_SUBSCRIPTION_ID},${AZURE_CLIENT_ID},${AZURE_CLIENT_SECRET},,,southeastasia,Standard_B1ms,anthropic,${ANTHROPIC_API_KEY},,,,,,false,,,
BP_byteplus_full,test-bp-ark,testbp1@example.com,byteplus,,,,,,,,,,${BYTEPLUS_ACCESS_KEY},${BYTEPLUS_SECRET_KEY},ap-southeast-1,ecs.g3i.large,byteplus,${ANTHROPIC_API_KEY},,,${BYTEPLUS_ARK_API_KEY},anthropic,,true,${TAILSCALE_AUTH_KEY},${TELEGRAM_BOT_TOKEN},${WHATSAPP_PHONE}
BP_byteplus_anthropic_fo,test-bp-anthro,testbp2@example.com,byteplus,,,,,,,,,,${BYTEPLUS_ACCESS_KEY},${BYTEPLUS_SECRET_KEY},ap-southeast-1,ecs.g3i.large,byteplus,${ANTHROPIC_API_KEY},,,${BYTEPLUS_ARK_API_KEY},anthropic,,false,,,
BP_anthropic_primary,test-bp-anthro-pri,testbp3@example.com,byteplus,,,,,,,,,,${BYTEPLUS_ACCESS_KEY},${BYTEPLUS_SECRET_KEY},ap-southeast-1,ecs.c3i.large,anthropic,${ANTHROPIC_API_KEY},,,,byteplus,,false,,,
BP_openai_primary,test-bp-openai-pri,testbp4@example.com,byteplus,,,,,,,,,,${BYTEPLUS_ACCESS_KEY},${BYTEPLUS_SECRET_KEY},ap-southeast-1,ecs.g3i.xlarge,openai,,${OPENAI_API_KEY},,,anthropic,,false,,,
BP_byteplus_dual_failover,test-bp-dual,testbp5@example.com,byteplus,,,,,,,,,,${BYTEPLUS_ACCESS_KEY},${BYTEPLUS_SECRET_KEY},ap-southeast-1,ecs.g3i.large,byteplus,${ANTHROPIC_API_KEY},${OPENAI_API_KEY},,${BYTEPLUS_ARK_API_KEY},anthropic,openai,false,,,
BP_minimal,test-bp-min,testbp6@example.com,byteplus,,,,,,,,,,${BYTEPLUS_ACCESS_KEY},${BYTEPLUS_SECRET_KEY},ap-southeast-1,ecs.c3i.large,byteplus,,,,${BYTEPLUS_ARK_API_KEY},,,false,,,
CROSS_DO_all_messaging,test-cross-msg,testcross1@example.com,digitalocean,${DO_TOKEN},,,,,,,,,,,sgp1,s-2vcpu-4gb,anthropic,${ANTHROPIC_API_KEY},,,,,,true,${TAILSCALE_AUTH_KEY},${TELEGRAM_BOT_TOKEN},${WHATSAPP_PHONE}
CROSS_TC_tailscale_only,test-cross-ts,testcross2@example.com,tencent,,${TENCENT_SECRET_ID},${TENCENT_SECRET_KEY},,,,,,,,,ap-singapore,SA5.MEDIUM4,anthropic,${ANTHROPIC_API_KEY},,,,,,true,${TAILSCALE_AUTH_KEY},,
CROSS_AWS_telegram_only,test-cross-tg,testcross3@example.com,lightsail,,,,${AWS_ACCESS_KEY_ID},${AWS_SECRET_ACCESS_KEY},,,,,,,ap-southeast-1,medium_3_0,openai,,${OPENAI_API_KEY},,,,,false,,${TELEGRAM_BOT_TOKEN},
CROSS_AZ_whatsapp_only,test-cross-wa,testcross4@example.com,azure,,,,,,${AZURE_TENANT_ID},${AZURE_SUBSCRIPTION_ID},${AZURE_CLIENT_ID},${AZURE_CLIENT_SECRET},,,southeastasia,Standard_B2s,anthropic,${ANTHROPIC_API_KEY},,,,,,false,,,${WHATSAPP_PHONE}
